disc_cat,brand,top_brand,top_category,category,correlation_coefficient_
Medium,STM,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",0.07681302377636581
Medium,Samsung,NOT in TOP Brands,In TOP Categories,Monitors,0.38895633334738017
Medium,Samsung,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",-0.039903515314671255
Medium,SanDisk,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",-0.049885839438176593
Medium,Satechi,NOT in TOP Brands,In TOP Categories,Electronic Devises,
Medium,Satechi,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",-0.15875867349121195
Medium,Satechi,NOT in TOP Brands,In TOP Categories,"Sound, Headphones, Players",
Medium,Satechi,NOT in TOP Brands,NOT in TOP Categories,Cables,0.10774768135476984
Medium,Satechi,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",-0.1834793152326649
Medium,Satechi,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,-0.05031220358310182
Medium,Satechi,NOT in TOP Brands,NOT in TOP Categories,"Input devices, styluses",0.01642756965570239
Medium,Seagate,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",-0.03486151498606911
Medium,SecurityXtra,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",
Medium,SecurityXtra,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,
Medium,Sen.se,NOT in TOP Brands,In TOP Categories,Electronic Devises,0.09056065838355609
Medium,Sena,NOT in TOP Brands,NOT in TOP Categories,Apple Watch Accessories,
Medium,Sena,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",
Medium,Service,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",
Medium,Service,NOT in TOP Brands,NOT in TOP Categories,"Repair service, Install kit, Extended warranty",
Medium,Sonnet,NOT in TOP Brands,In TOP Categories,Apple iMac,
Medium,Sonnet,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",
Medium,Sonnet,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,-0.0912858425721216
Medium,Sonos,NOT in TOP Brands,In TOP Categories,"Sound, Headphones, Players",0.19825060762135302
Medium,Spek SeeThru,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",0.06231049337404625
Medium,Sphero,NOT in TOP Brands,In TOP Categories,Electronic Devises,-0.1008583072587222
Medium,Stacked,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
Medium,Startech,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",
Medium,Startech,NOT in TOP Brands,NOT in TOP Categories,Cables,
Medium,Startech,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,0.46969115186017124
Medium,Stikgo,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
Medium,SwitchEasy,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
Medium,Synology,In TOP Brands,In TOP Categories,Electronic Devises,
Medium,Synology,In TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",
Medium,Synology,In TOP Brands,NOT in TOP Categories,Routers,
Medium,TP-Link,NOT in TOP Brands,In TOP Categories,Electronic Devises,0.10352689240665587
Medium,TP-Link,NOT in TOP Brands,NOT in TOP Categories,Cables,
Medium,TP-Link,NOT in TOP Brands,NOT in TOP Categories,Routers,-0.14225320769335822
Medium,Tado,NOT in TOP Brands,In TOP Categories,Electronic Devises,
Medium,Tangram,NOT in TOP Brands,In TOP Categories,Electronic Devises,
Medium,Tech21,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
Medium,Thule,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",0.0005912961819014318
Medium,Tigra,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
Medium,Toshiba,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",-0.14437757680533245
Medium,TrackR,NOT in TOP Brands,In TOP Categories,Electronic Devises,0.10801038654125501
Medium,Trascend,NOT in TOP Brands,In TOP Categories,Electronic Devises,
Medium,Trascend,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",
Medium,Trunk Sleeve,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
Medium,Tucano,NOT in TOP Brands,In TOP Categories,Electronic Devises,
Medium,Tucano,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",0.0018158101321934126
Medium,Twelve South,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
Medium,Twelve South,NOT in TOP Brands,NOT in TOP Categories,Apple Watch Accessories,
Medium,Twelve South,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",-0.028569374472229476
Medium,Urban Armor Gear,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
Medium,Wacom,In TOP Brands,In TOP Categories,Apple iMac,
Medium,Wacom,In TOP Brands,In TOP Categories,Electronic Devises,0.05022489474312815
Medium,Wacom,In TOP Brands,In TOP Categories,Monitors,
Medium,Wacom,In TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
Medium,Wacom,In TOP Brands,In TOP Categories,Tablets,0.06447272269836031
Medium,Wacom,In TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",
Medium,Wacom,In TOP Brands,NOT in TOP Categories,"Input devices, styluses",0.10122295341935013
Medium,Western Digital,In TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",0.0622400608329824
Medium,Whoosh,NOT in TOP Brands,In TOP Categories,Electronic Devises,
Medium,Withings,NOT in TOP Brands,In TOP Categories,Electronic Devises,
Medium,Wowewa,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",-0.12870125310858457
Medium,Wowewa,NOT in TOP Brands,NOT in TOP Categories,"Power Banks, Batteries",
Medium,X-Doria,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",-0.10175864172949808
Medium,X-Doria,NOT in TOP Brands,NOT in TOP Categories,Apple Watch Accessories,
Medium,X-Rite,NOT in TOP Brands,NOT in TOP Categories,"Repair service, Install kit, Extended warranty",
Medium,Xoopar,NOT in TOP Brands,In TOP Categories,"Sound, Headphones, Players",
Medium,Xoopar,NOT in TOP Brands,NOT in TOP Categories,"Power Banks, Batteries",
Medium,Xtorm,NOT in TOP Brands,NOT in TOP Categories,"Power Banks, Batteries",
Medium,ZaggKeys,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",-0.0008087783901035326
Medium,ZaggKeys,NOT in TOP Brands,In TOP Categories,"Sound, Headphones, Players",
Medium,iFixit,NOT in TOP Brands,NOT in TOP Categories,"Repair service, Install kit, Extended warranty",0.03403760843909878
Medium,iHealth,NOT in TOP Brands,In TOP Categories,Electronic Devises,
Medium,iOttie,NOT in TOP Brands,In TOP Categories,Electronic Devises,
Medium,iOttie,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",0.05110244598693883
Medium,iOttie,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,
